algorithm,jammer,jsr_db,role,oracle_audit,interface_pass,trials,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_lower_db,pd_identity,pd_after,target_only_change_mean_db,target_erased_count,position_spread_db,fallback_ratio_mean,runtime_ms_mean,memory_usage_bytes_mean
FROZEN_REJECTION_CONFIRMATION,NoiseConvolutionJamming,30.0,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,True,250,-0.0018334319405591062,0.0023112635152400633,-0.0021199391342145374,0.0,0.0,-0.004811247201859151,0,0.0002239901156192972,0.0,4.431122184090782,80000.0
FROZEN_REJECTION_CONFIRMATION,NoiseProductJamming,0.0,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,True,250,0.0013358938433556773,0.000671709850163226,0.0012526278276668574,1.0,1.0,-0.004811247201859151,0,0.00015832977164770062,0.0,4.450841816083994,80000.0
FROZEN_REJECTION_CONFIRMATION,NoiseProductJamming,10.0,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,True,250,0.0016431685539023847,0.0013197863302304624,0.0014795661454336754,0.288,0.288,-0.004811247201859151,0,6.0204727782213734e-05,0.0,4.435546000211616,80000.0
FROZEN_REJECTION_CONFIRMATION,NoiseProductJamming,20.0,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,True,250,0.0008626448247636702,0.0042600697965462725,0.00033456110166731805,0.0,0.0,-0.004811247201859151,0,0.0005585135575049804,0.0,4.392034504111507,80000.0
FROZEN_REJECTION_CONFIRMATION,NoiseProductJamming,30.0,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,True,250,-0.0005887110775558932,0.005610093151996695,-0.0012841454295999854,0.0,0.0,-0.004811247201859151,0,4.332870952964644e-05,0.0,4.464057835954009,80000.0
FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,True,250,-0.0026234023391453576,0.002478271779868163,-0.002930612091769228,1.0,1.0,-0.004811247201859151,0,0.005876453728931991,0.0,4.4427135120058665,80000.0
FROZEN_REJECTION_CONFIRMATION,SMSP,10.0,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,True,250,-0.0023654372002754444,0.0031231912182620716,-0.0027525919947388577,0.8,0.8,-0.004811247201859151,0,0.007556640830542598,0.0,4.424541011903784,80000.0
FROZEN_REJECTION_CONFIRMATION,SMSP,20.0,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,True,250,0.004928694164733187,0.001971201423097495,0.004684341504754217,0.6,0.6,-0.004811247201859151,0,0.004515597205787714,0.0,4.477497680083616,80000.0
FROZEN_REJECTION_CONFIRMATION,SMSP,30.0,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,True,250,0.003504693919024117,0.00412002413765856,0.0029939704356611286,0.6,0.6,-0.004811247201859151,0,0.0104115230662193,0.0,4.427298139955383,80000.0
Identity,AMNoiseGaiJam,0.0,OBSERVABLE_BASELINE,PASS,True,250,0.0,0.0,0.0,1.0,1.0,-8.678947198979587e-15,0,0.0,1.0,0.0,80000.0
