candidate_id,jammer,jsr_db,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_identity,pd_algorithm,position_spread_db,fallback_ratio,estimation_error_mean,target_only_change_db,confidence_mean,runtime_mean_ms
A_k3_c0.65_r0.001,AMNoiseGaiJam,0.0,100,100,0,0,0,8.79645928660228,0.41282474297076693,0.08091364962227032,1.0,1.0,0.652949341957969,0.0,0.0,-8.685885305006762e-06,0.9467935714053215,0.4602312931092456
A_k3_c0.65_r0.001,AMNoiseGaiJam,10.0,100,100,0,0,0,17.36105010295689,0.8176814144098267,0.16026555722432603,1.0,1.0,1.4455903909537149,0.0,0.19,-8.685885305006762e-06,0.8475397183367464,0.46242671727668494
A_k3_c0.65_r0.001,AMNoiseGaiJam,20.0,100,100,0,0,0,13.003022513921326,12.562720478384513,2.462293213763364,0.69,0.99,18.479356511417357,0.47,1.0,-8.685885305006762e-06,0.4012940383115427,0.39269214787054807
A_k3_c0.65_r0.001,AMNoiseGaiJam,30.0,100,100,0,0,0,-108.11551434114028,149.36630947912462,29.275796657908426,0.6,0.72,189.34309094413427,0.35,1229.8461538461538,-8.685885305006762e-06,0.44591488199951107,0.41254668147303164
A_k3_c0.65_r0.001,FMNoiseAimedJam,0.0,100,100,0,0,0,10.55015082620921,0.31665094428574836,0.06206358508000668,1.0,1.0,0.1788990283052332,0.0,0.01,-8.685885305006762e-06,0.9261466381639312,0.4642904899083078
A_k3_c0.65_r0.001,FMNoiseAimedJam,10.0,100,100,0,0,0,19.771645091626265,0.6793295531651363,0.13314859242036672,0.87,1.0,0.33909599559773085,0.0,0.27,-8.685885305006762e-06,0.7956618000523537,0.4618241876596585
A_k3_c0.65_r0.001,FMNoiseAimedJam,20.0,100,100,0,0,0,-95.39451910114957,145.78933049387769,28.574708776800026,0.6,0.7,160.19378812036243,0.45,1259.2,-8.685885305006762e-06,0.3837569669055392,0.39681288530118763
A_k3_c0.65_r0.001,FMNoiseAimedJam,30.0,100,100,0,0,0,-94.904977481328,139.3606633157005,27.314690009877296,0.6,0.62,150.97278270924195,0.49,1389.9803921568628,-8.685885305006762e-06,0.35624398776081323,0.39136957260780036
A_k3_c0.65_r0.001,NoJammer,0.0,100,100,0,0,0,4.6591480497757685,0.15027551314107948,0.02945400057565158,1.0,1.0,0.09456945724967447,0.0,0.0,-8.685885305006762e-06,0.9786008919228439,0.4693641309859231
A_k3_c0.65_r0.001,NoJammer,10.0,100,100,0,0,0,4.6591480497757685,0.15027551314107948,0.02945400057565158,1.0,1.0,0.09456945724967447,0.0,0.0,-8.685885305006762e-06,0.9786008919228439,0.469588310807012
A_k3_c0.65_r0.001,NoJammer,20.0,100,100,0,0,0,4.6591480497757685,0.15027551314107948,0.02945400057565158,1.0,1.0,0.09456945724967447,0.0,0.0,-8.685885305006762e-06,0.9786008919228439,0.4697800043504685
A_k3_c0.65_r0.001,NoJammer,30.0,100,100,0,0,0,4.6591480497757685,0.15027551314107948,0.02945400057565158,1.0,1.0,0.09456945724967447,0.0,0.0,-8.685885305006762e-06,0.9786008919228439,0.4647396004293114
