jammer,algorithm,role,jsr_db,target_position,trials,interface_pass,oracle_input_failures,target_erased_count,fallback_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,pd_after,estimation_error_mean,confidence_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,3750,50,50,0,0,0,8.19005415194163,0.294455411303714,0.0816188758912526,-8.68584620991974e-05,1.0,0.0,1.0,34.450397515902296,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,4500,50,50,0,0,0,8.13329824027408,0.29843863325109693,0.08272296868523911,-8.68584620991974e-05,1.0,0.0,1.0,34.66074334573932,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,500,50,50,0,0,0,6.208153171425586,0.28493407845907015,0.07897969707526292,-8.68584620991974e-05,1.0,0.0,1.0,34.610768313286826,400257296.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,1250,50,50,0,0,0,16.655036727611538,0.455605702291005,0.12628745760179375,-8.685846209726874e-05,1.0,0.0,1.0,33.00974671845324,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,2500,50,50,0,0,0,16.682859234151024,0.4571013268322922,0.12670202357385302,-8.68584620963044e-05,1.0,0.0,1.0,32.83538248506375,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,3750,50,50,0,0,0,16.663931535727247,0.4584658771540671,0.12708025762588557,-8.68584620991974e-05,1.0,0.0,1.0,32.91999163920991,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,4500,50,50,0,0,0,16.694568176718363,0.4588509151087142,0.12718698470179365,-8.68584620991974e-05,1.0,0.0,1.0,32.924480095971376,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,500,50,50,0,0,0,13.544601951287861,0.4861975708683177,0.13476709094810646,-8.68584620991974e-05,1.0,0.0,1.0,32.84636082709767,400257296.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,1250,50,50,0,0,0,24.51075843755249,0.9050079685382868,0.2508554104598634,-8.685846209726874e-05,1.0,0.0,1.0,33.37167844641954,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,2500,50,50,0,0,0,24.549255683500487,0.9068540808167286,0.25136712667614325,-8.68584620963044e-05,1.0,0.0,1.0,33.41555835912004,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,3750,50,50,0,0,0,24.547335186128056,0.9069327242218959,0.25138892551589825,-8.68584620991974e-05,1.0,0.0,1.0,33.356443321099505,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,4500,50,50,0,0,0,24.588517338949128,0.9069396412285758,0.2513908428123312,-8.68584620991974e-05,1.0,0.0,1.0,33.55005651596002,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,500,50,50,0,0,0,21.228064698691988,0.9012768881339256,0.24982120773587357,-8.68584620991974e-05,1.0,0.0,1.0,33.32641669898294,400257296.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,1250,50,50,0,0,0,29.954771281821426,1.6831306482627464,0.4665400132437231,-8.685846209726874e-05,1.0,0.0,1.0,33.29041336080991,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,2500,50,50,0,0,0,29.994305024716013,1.685002514877423,0.4670588681977952,-8.68584620963044e-05,1.0,0.0,1.0,33.15657168277539,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,3750,50,50,0,0,0,29.994113149945782,1.6850074422975279,0.4670602340089658,-8.68584620991974e-05,1.0,0.0,1.0,33.139708226080984,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,4500,50,50,0,0,0,30.036339501288353,1.6849719569835222,0.4670503979817487,-8.68584620991974e-05,1.0,0.0,1.0,33.257222482934594,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,500,50,50,0,0,0,26.6551821521996,1.6577508838748218,0.4595051014703047,-8.68584620991974e-05,1.0,0.0,1.0,33.07346489862539,400257296.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,0.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,0.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,0.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,0.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,0.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,10.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.72,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,10.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.72,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,10.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.72,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,10.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.72,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,10.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.78,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,20.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.02,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,20.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.02,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,20.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.02,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,20.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.02,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,20.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.02,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,30.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,30.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,30.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,30.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
