jammer,algorithm,role,jsr_db,target_position,trials,interface_pass,oracle_input_failures,target_erased_count,fallback_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,pd_after,estimation_error_mean,confidence_mean,runtime_mean_ms,memory_mean_bytes
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,20.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.02,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,30.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,30.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,30.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,30.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,30.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,0.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,0.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,0.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,0.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,0.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,10.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,10.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,10.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,10.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,10.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,20.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,20.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,20.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,20.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,20.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,30.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,30.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,30.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,30.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMNoiseSaopin,Identity,IDENTITY_BASELINE,30.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,0.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,0.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,0.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,0.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,0.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,10.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,10.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,10.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,10.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,10.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,20.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.58,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,20.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.58,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,20.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.58,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,20.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.58,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,20.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.58,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,30.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.02,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,30.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.02,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,30.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.02,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,30.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.02,nan,1.0,0.0,0.0
FMZuse,Identity,IDENTITY_BASELINE,30.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,0.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,0.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,0.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,0.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,0.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,10.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,10.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,10.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,10.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,10.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,20.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,20.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,20.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,20.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,20.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,30.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,30.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,30.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,30.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,IDENTITY_BASELINE,30.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,0.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,0.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,0.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,0.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,0.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,10.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.16,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,10.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.16,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,10.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.16,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,10.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.16,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,10.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.18,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,20.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,20.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,20.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,20.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,20.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,30.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,30.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,30.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,30.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseConvolutionJamming,Identity,IDENTITY_BASELINE,30.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,0.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,0.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,0.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,0.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,0.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,10.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.16,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,10.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.16,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,10.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.16,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,10.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.16,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,10.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.16,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,20.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,20.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,20.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,20.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,20.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,30.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,30.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,30.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,30.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
NoiseProductJamming,Identity,IDENTITY_BASELINE,30.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,0.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,0.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,0.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,0.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,0.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,10.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.22,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,10.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.22,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,10.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.22,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,10.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.22,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,10.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.4,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,20.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,20.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,20.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,20.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,20.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,30.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,30.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,30.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
SMSP,Identity,IDENTITY_BASELINE,30.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
